field,type,source,validation
structural_event_id,string,record.event_id,valid MSZZSE2 certified record
structural_speed,enum_speed,record.speed,all pivots match
structural_direction,enum_direction,record.direction,matches candidate direction
structural_event_time_raw,datetime_raw,record.event_time,raw broker clock
structural_previous_bar_time_raw,datetime_raw,record.previous_bar_time,before event
structural_origin_pivot_id,string,record.source_origin_pivot_id,nonempty
structural_origin_pivot_speed,enum_speed,record.source_origin_pivot_speed,matches record speed
structural_origin_pivot_kind,enum_pivot_kind,record.source_origin_pivot_kind,directionally opposite structural kind
structural_origin_price,double,record.source_origin_price,record validated
structural_origin_pivot_time_raw,datetime_raw,record.source_origin_pivot_time,before broken pivot
structural_origin_confirmation_time_raw,datetime_raw,record.source_origin_confirmation_time,before broken confirmation
structural_broken_pivot_id,string,record.broken_pivot_id,equals anchor 2 ID
structural_broken_pivot_speed,enum_speed,record.broken_pivot_speed,matches record speed
structural_broken_pivot_kind,enum_pivot_kind,record.broken_pivot_kind,directionally valid
structural_broken_pivot_price,double,record.broken_pivot_price,equals anchor 2 price
structural_broken_pivot_time_raw,datetime_raw,record.broken_pivot_time,record chronology
structural_broken_confirmation_time_raw,datetime_raw,record.broken_pivot_confirmation_time,not after event
structural_anchor_1_id,string,record.projection_anchor_1_id,nonempty and different from anchor 2
structural_anchor_1_speed,enum_speed,record.projection_anchor_1_speed,matches record speed
structural_anchor_1_kind,enum_pivot_kind,record.projection_anchor_1_kind,directionally valid
structural_anchor_1_price,double,record.projection_anchor_1_price,projection input
structural_anchor_1_time_raw,datetime_raw,record.projection_anchor_1_time,before anchor 2
structural_anchor_1_confirmation_time_raw,datetime_raw,record.projection_anchor_1_confirmation_time,record copy
structural_anchor_2_id,string,record.projection_anchor_2_id,equals broken pivot ID
structural_anchor_2_speed,enum_speed,record.projection_anchor_2_speed,matches record speed
structural_anchor_2_kind,enum_pivot_kind,record.projection_anchor_2_kind,directionally valid
structural_anchor_2_price,double,record.projection_anchor_2_price,projection input
structural_anchor_2_time_raw,datetime_raw,record.projection_anchor_2_time,after anchor 1
structural_anchor_2_confirmation_time_raw,datetime_raw,record.projection_anchor_2_confirmation_time,equals broken confirmation
structural_projected_level_previous_bar,double,record.projected_level_previous_bar,recomputed
structural_projected_level_event_bar,double,record.projected_level_event_bar,recomputed and candidate reference
structural_break_close_previous_bar,double,record.break_close_previous_bar,directional pre-break
structural_break_close_price,double,record.break_close_price,directional cross
structural_break_distance,double,record.break_distance,recomputed
structural_break_distance_atr,double,record.break_distance_atr,recomputed
structural_impulse_origin_price,double,record.impulse_origin_price,equals owned origin
structural_impulse_extreme_price,double,record.impulse_extreme_price,directionally valid
structural_impulse_distance,double,record.impulse_distance,recomputed
structural_impulse_distance_atr,double,record.impulse_distance_atr,recomputed
structural_atr_at_event,double,record.atr_at_event,finite positive
