"coverage_version","cert_run","fixture_group","fixture_id","python_result","mql5_result","parity_result","collector_version","mql5_source_log_sha256","simulator_fixtures_sha256","journal_binding_index_sha256","ordering_fixtures_sha256","expected_outcomes_sha256"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F01","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F02","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F03","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F04","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F05","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F06","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F07","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F08","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F09","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F10","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F11","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F12","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F13","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F14","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F15","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F16","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F17","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F18","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F19","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F20","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
"MSZZ_SCREENING_COVERAGE_V2","MSZZ_SCREENING_CERT_RUN_V2_deadbeefdeadbeef","EXECUTION_CORE","F21","PASS","PASS","PASS","MSZZ_MQL5_RESULT_COLLECTOR_V2","fba9aa02c33dba7b82583530172dc5f1b05c9315588b6d2e59a68d0c7af260a2","2b7330eea829196588ba2ed725056411fe03d55843d3c98cf40f60679da41052","c7be2c3a92858d2794361af1b3575b09910bc9f7e5dcdeafd5eeea7c63c3c702","a18b95a59aa90b349eb61a2c0d18c6c5f240372012f0a0a9bd59029d6d8ed14d","7193cf1ef5338184eb42e04ca7ec6cb23067fc2ecbab47ebb590298b05c107ce"
