MSZZ_SCREENING_ORDERING_FIXTURES_V2
fixture_id,idx,signal,family,event_id,sequence_id,expected_rank
"OR01","0","100","8","A","S|1","0"
"OR01","1","100","8","B","S|1","1"
"OR01","2","100","8","C","S|1","2"
"OR02","0","100","8","E|1","S|1","0"
"OR02","1","100","8","E|10","S|1","1"
"OR02","2","100","8","E|2","S|1","2"
"OR03","0","100","8","ABC","S|1","1"
"OR03","1","100","8","AB","S|1","0"
"OR03","2","100","8","ABCD","S|1","2"
"OR04","0","100","8","E|1","S|2","1"
"OR04","1","100","8","E|1","S|1","0"
"OR05","0","100","8","C","S|1","2"
"OR05","1","100","8","A","S|1","0"
"OR05","2","100","8","B","S|1","1"
"OR06","0","100","8","E|1","S|1","0"
"OR06","1","100","8","E|1","S|1","1"
"OR06","2","100","8","E|1","S|1","2"
"OR07","0","100","8","café","S|1","2"
"OR07","1","100","8","cafe","S|1","0"
"OR07","2","100","8","cafz","S|1","1"
"OR08","0","100","8","Α","S|1","2"
"OR08","1","100","8","Z","S|1","1"
"OR08","2","100","8","A","S|1","0"
"OR09","0","100","8","😀","S|1","2"
"OR09","1","100","8","豈","S|1","1"
"OR09","2","100","8","A","S|1","0"
"OR10","0","100","8","é","é|2","1"
"OR10","1","100","8","é","é|1","0"
"OR11","0","200","8","Z","S|1","1"
"OR11","1","100","8","A","S|1","0"
"OR12","0","100","8","Z","S|1","0"
"OR12","1","100","13","A","S|1","1"
"OR13","0","100","8","А","S|1","1"
"OR13","1","100","8","Я","S|1","2"
"OR13","2","100","8","A","S|1","0"
