"fixture_id","kind","c0","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13"
"F01","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F01","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F01","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F01","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F01","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F02","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F02","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F02","BAR","200","10000","10015","9945","10000","10","","","","","","","",""
"F02","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F03","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F03","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F03","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F03","BAR","300","10010","10060","10005","10050","10","","","","","","","",""
"F03","CAND","1","100","100000","100.1","99.9","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F04","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F04","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F04","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F04","CAND","1","100","200","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F05","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F05","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F05","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F05","CAND","1","100","150","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F06","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F06","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F06","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F06","CAND","1","500","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F07","META","150","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F07","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F07","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F07","CAND","1","100","100000","100.1","99.8","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F08","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","TRANSPORT_REJECT","XAUUSD","5"
"F08","BAR","100","10000","10010","9990","10000","-1","","","","","","","",""
"F09","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","TRANSPORT_REJECT","XAUUSD","5"
"F09","BAR","100","10000","9900","9990","10000","10","","","","","","","",""
"F10","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F10","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F10","BAR","200","10000","10015","9995","10005","10","","","","","","","",""
"F10","CAND","1","100","100000","100.1","99.8","2.0","9","E|b","S|2","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F10","CAND","1","100","100000","100.1","99.8","2.0","8","E|a","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F11","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F11","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F11","BAR","200","10000","10020","9995","10010","30","","","","","","","",""
"F11","BAR","300","10030","10120","10025","10100","30","","","","","","","",""
"F11","CAND","1","100","100000","100.3","100.1","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F12","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F12","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F12","BAR","200","10000","10015","9945","10000","10","","","","","","","",""
"F12","CAND","-1","100","100000","100.0","100.2","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F13","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","1000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F13","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F13","BAR","200","10000","10020","9995","10010","30","","","","","","","",""
"F13","BAR","300","10030","10120","10025","10100","30","","","","","","","",""
"F13","CAND","1","100","100000","100.3","100.1","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
"F14","META","NONE","MSZZ_SIX_FAMILY_EXEC_V2_FIXED_ST","XAUUSD","5","abababababababababababababababababababababababababababababababab","AUTO","1000000","5000000","0","0","AUTO","RUN_OK","XAUUSD","5"
"F14","BAR","100","10000","10010","9990","10000","10","","","","","","","",""
"F14","BAR","200","10000","10020","9995","10010","10","","","","","","","",""
"F14","BAR","300","10010","10120","10005","10100","10","","","","","","","",""
"F14","CAND","1","100","100000","100.1","99.93","2.0","9","E|1","S|1","1200","BROKER_SERVER_RAW","MSZZ_TIME_RAW_BROKER_V1","AUTO",""
