bar_time;speed;direction;engine_event_id;replay_event_id;projection_anchor_1_id;projection_anchor_2_id;engine_projected_previous;replay_projected_previous;engine_projected_event;replay_projected_event;engine_origin_pivot;replay_origin_pivot;engine_broken_pivot;replay_broken_pivot;engine_atr;replay_atr;engine_break_distance;replay_break_distance;engine_impulse_distance;replay_impulse_distance;field_parity
2025.06.02 03:35:00;0;SHORT;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748835300|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748832600|1748832600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748835300|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748832600|1748832600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZ|XAUUSD|5|0|-1|1748832600|1748832600;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;3310.2000000000;3310.2000000000;3310.3187500000;3310.3187500000;MSZZ|XAUUSD|5|0|1|1748833500|1748833500;MSZZ|XAUUSD|5|0|1|1748833500|1748833500;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;2.4600000000;2.4600000000;3.6287500000;3.6287500000;7.2300000000;7.2300000000;PASS
2025.06.02 04:15:00;0;SHORT;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748837700|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748832600|1748832600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748837700|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748832600|1748832600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZ|XAUUSD|5|0|-1|1748832600|1748832600;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;3311.1500000000;3311.1500000000;3311.2687500000;3311.2687500000;MSZZ|XAUUSD|5|0|1|1748833500|1748833500;MSZZ|XAUUSD|5|0|1|1748833500|1748833500;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;3.1028571429;3.1028571429;1.9187500000;1.9187500000;4.2700000000;4.2700000000;PASS
2025.06.02 04:40:00;0;SHORT;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748839200|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748839200|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600|40:MSZZ|XAUUSD|5|0|-1|1748835000|1748835000|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;MSZZ|XAUUSD|5|0|-1|1748835000|1748835000;MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;3306.7875000000;3306.7875000000;3306.5250000000;3306.5250000000;MSZZ|XAUUSD|5|0|1|1748837400|1748837700;MSZZ|XAUUSD|5|0|1|1748837400|1748837700;MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;3.3635714286;3.3635714286;0.1150000000;0.1150000000;8.2000000000;8.2000000000;PASS
2025.06.02 06:30:00;0;SHORT;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748845800|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1748845800|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400|40:MSZZ|XAUUSD|5|0|-1|1748838600|1748838600|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZ|XAUUSD|5|0|-1|1748838600|1748838600;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;3304.8650000000;3304.8650000000;3304.7700000000;3304.7700000000;MSZZ|XAUUSD|5|0|1|1748841300|1748841300;MSZZ|XAUUSD|5|0|1|1748841300|1748841300;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;2.1335714286;2.1335714286;0.0400000000;0.0400000000;7.6200000000;7.6200000000;PASS
2025.06.02 07:00:00;0;LONG;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1748847600|39:MSZZ|XAUUSD|5|0|1|1748847300|1748847300|39:MSZZ|XAUUSD|5|0|1|1748841300|1748841300|39:MSZZ|XAUUSD|5|0|1|1748847300|1748847300;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1748847600|39:MSZZ|XAUUSD|5|0|1|1748847300|1748847300|39:MSZZ|XAUUSD|5|0|1|1748841300|1748841300|39:MSZZ|XAUUSD|5|0|1|1748847300|1748847300;MSZZ|XAUUSD|5|0|1|1748841300|1748841300;MSZZ|XAUUSD|5|0|1|1748847300|1748847300;3308.9400000000;3308.9400000000;3308.8105000000;3308.8105000000;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZ|XAUUSD|5|0|1|1748847300|1748847300;MSZZ|XAUUSD|5|0|1|1748847300|1748847300;2.0500000000;2.0500000000;2.3195000000;2.3195000000;5.9000000000;5.9000000000;PASS
2025.06.09 03:40:00;0;SHORT;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1749440400|40:MSZZ|XAUUSD|5|0|-1|1749438900|1749438900|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400|40:MSZZ|XAUUSD|5|0|-1|1749438900|1749438900;MSZZSE1|6:XAUUSD|1:5|1:0|2:-1|10:1749440400|40:MSZZ|XAUUSD|5|0|-1|1749438900|1749438900|40:MSZZ|XAUUSD|5|0|-1|1748843400|1748843400|40:MSZZ|XAUUSD|5|0|-1|1749438900|1749438900;MSZZ|XAUUSD|5|0|-1|1748843400|1748843400;MSZZ|XAUUSD|5|0|-1|1749438900|1749438900;3305.6702821159;3305.6702821159;3305.6703526448;3305.6703526448;MSZZ|XAUUSD|5|0|1|1748847300|1748847300;MSZZ|XAUUSD|5|0|1|1748847300|1748847300;MSZZ|XAUUSD|5|0|-1|1749438900|1749438900;MSZZ|XAUUSD|5|0|-1|1749438900|1749438900;3.3850000000;3.3850000000;2.8103526448;2.8103526448;7.2000000000;7.2000000000;PASS
2025.06.09 04:15:00;0;LONG;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749442500|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749442500|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749439800|1749439800;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;3308.2733333333;3308.2733333333;3307.8150000000;3307.8150000000;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;4.4307142857;4.4307142857;0.0950000000;0.0950000000;10.9800000000;10.9800000000;PASS
2025.06.09 04:40:00;0;LONG;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749444000|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749444000|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749439800|1749439800;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;3305.9816666667;3305.9816666667;3305.5233333333;3305.5233333333;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;4.3842857143;4.3842857143;1.7366666667;1.7366666667;10.9800000000;10.9800000000;PASS
2025.06.09 05:20:00;0;LONG;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749446400|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749446400|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749439800|1749439800|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749439800|1749439800;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;3302.3150000000;3302.3150000000;3301.8566666667;3301.8566666667;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|-1|1749440700|1749440700;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;4.1150000000;4.1150000000;2.7533333333;2.7533333333;10.9800000000;10.9800000000;PASS
2025.06.09 05:45:00;0;LONG;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749447900|39:MSZZ|XAUUSD|5|0|1|1749446700|1749446700|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749446700|1749446700;MSZZSE1|6:XAUUSD|1:5|1:0|1:1|10:1749447900|39:MSZZ|XAUUSD|5|0|1|1749446700|1749446700|39:MSZZ|XAUUSD|5|0|1|1749441600|1749441600|39:MSZZ|XAUUSD|5|0|1|1749446700|1749446700;MSZZ|XAUUSD|5|0|1|1749441600|1749441600;MSZZ|XAUUSD|5|0|1|1749446700|1749446700;3305.2135294118;3305.2135294118;3305.0147058824;3305.0147058824;MSZZ|XAUUSD|5|0|-1|1749444900|1749444900;MSZZ|XAUUSD|5|0|-1|1749444900|1749444900;MSZZ|XAUUSD|5|0|1|1749446700|1749446700;MSZZ|XAUUSD|5|0|1|1749446700|1749446700;3.9592857143;3.9592857143;0.8552941176;0.8552941176;11.0700000000;11.0700000000;PASS
