symbol;timeframe;magic;risk_reward;enabled_strategies;first_signal_time;last_close_time;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;avg_mfe_r;avg_mae_r;avg_bars_held;long_expectancy_r;long_trades;short_expectancy_r;short_trades
XAUUSD;PERIOD_M5;26072613;1.00;FastMedConfluence;2025.03.05 15:45:00;2026.07.21 04:19:58;248;0.4879;0.0682;1.1674;12.9205;0.8270;-0.7441;132.86;0.0901;118;0.0483;130
XAUUSD;PERIOD_M5;26072614;1.50;FastMedConfluence;2025.03.05 15:45:00;2026.07.21 04:19:58;232;0.4095;0.0903;1.1895;15.9296;1.0443;-0.7966;178.59;0.1696;111;0.0175;121
XAUUSD;PERIOD_M5;26072615;2.00;FastMedConfluence;2025.03.05 15:45:00;2026.07.21 04:39:58;224;0.3616;0.1261;1.2446;15.1583;1.1749;-0.8288;222.63;0.2054;107;0.0536;117
XAUUSD;PERIOD_M5;26072616;3.00;FastMedConfluence;2025.03.05 15:45:00;2026.07.21 04:39:58;213;0.2958;0.1467;1.2532;16.9205;1.4203;-0.9161;278.15;0.2098;101;0.0898;112
XAUUSD;PERIOD_M5;26072617;1.00;FastMedContext;2025.03.05 15:45:00;2026.07.21 04:19:58;259;0.4749;0.0448;1.1080;11.4930;0.8256;-0.7652;134.07;0.0390;123;0.0500;136
XAUUSD;PERIOD_M5;26072618;1.50;FastMedContext;2025.03.05 15:45:00;2026.07.21 04:19:58;243;0.3951;0.0553;1.1154;13.4806;1.0307;-0.8250;178.00;0.1189;116;-0.0027;127
XAUUSD;PERIOD_M5;26072619;2.00;FastMedContext;2025.03.05 15:45:00;2026.07.21 04:39:58;235;0.3532;0.1010;1.1953;12.2093;1.1641;-0.8613;209.00;0.1496;113;0.0560;122
XAUUSD;PERIOD_M5;26072620;3.00;FastMedContext;2025.03.05 15:45:00;2026.07.21 04:39:58;222;0.2928;0.1222;1.2128;13.4991;1.4074;-0.9158;263.97;0.1478;105;0.0992;117
XAUUSD;PERIOD_M5;26072605;1.00;MediumBreakout;2025.03.04 11:25:00;2026.07.21 05:39:58;548;0.4161;-0.0768;0.8349;55.8375;0.7799;-0.7967;70.45;-0.0795;263;-0.0743;285
XAUUSD;PERIOD_M5;26072606;1.50;MediumBreakout;2025.03.04 11:25:00;2026.07.21 05:39:58;532;0.3590;-0.0467;0.9081;50.0401;0.9090;-0.8594;84.83;-0.0389;257;-0.0540;275
XAUUSD;PERIOD_M5;26072607;2.00;MediumBreakout;2025.03.04 11:25:00;2026.07.21 05:39:58;513;0.3236;-0.0414;0.9236;44.0579;1.0182;-0.9007;98.63;-0.0243;251;-0.0579;262
XAUUSD;PERIOD_M5;26072608;3.00;MediumBreakout;2025.03.04 11:25:00;2026.07.21 05:39:58;502;0.2789;-0.0454;0.9222;53.3808;1.1697;-0.9467;118.53;-0.0420;247;-0.0486;255
XAUUSD;PERIOD_M5;26072621;1.00;MedSlowContext;2025.03.04 11:25:00;2026.07.21 05:39:58;473;0.4249;-0.0631;0.8634;37.3269;0.7732;-0.7728;81.41;-0.0840;231;-0.0430;242
XAUUSD;PERIOD_M5;26072622;1.50;MedSlowContext;2025.03.04 11:25:00;2026.07.21 05:39:58;455;0.3714;-0.0137;0.9726;29.7759;0.9154;-0.8243;99.11;-0.0251;225;-0.0025;230
XAUUSD;PERIOD_M5;26072623;2.00;MedSlowContext;2025.03.04 11:25:00;2026.07.21 05:39:58;440;0.3273;-0.0189;0.9650;30.4892;1.0337;-0.8648;116.80;0.0019;219;-0.0394;221
XAUUSD;PERIOD_M5;26072624;3.00;MedSlowContext;2025.03.04 11:25:00;2026.07.21 05:39:58;428;0.2804;-0.0154;0.9733;40.5773;1.2044;-0.9122;140.60;0.0418;213;-0.0722;215
XAUUSD;PERIOD_M5;26072625;1.00;NestedPullback;2025.03.05 15:45:00;2026.07.22 04:09:58;154;0.4935;0.0167;1.0367;13.4313;0.7552;-0.7154;359.52;0.1214;74;-0.0802;80
XAUUSD;PERIOD_M5;26072626;1.50;NestedPullback;2025.03.05 15:45:00;2026.07.22 04:09:58;144;0.4097;0.0140;1.0263;14.8055;0.9882;-0.7822;409.78;0.2585;70;-0.2173;74
XAUUSD;PERIOD_M5;26072627;2.00;NestedPullback;2025.03.05 15:45:00;2026.07.22 04:09:58;136;0.3382;-0.0208;0.9652;19.8286;1.1140;-0.8159;484.78;0.3257;65;-0.3380;71
XAUUSD;PERIOD_M5;26072628;3.00;NestedPullback;2025.03.05 15:45:00;2026.07.22 04:09:58;129;0.2713;-0.0450;0.9320;21.7760;1.2648;-0.8876;563.02;0.2898;60;-0.3361;69
XAUUSD;PERIOD_M5;26072609;1.00;SlowBreakout;2025.03.03 01:00:00;2026.07.22 04:04:58;369;0.4553;-0.0148;0.9652;21.3522;0.8740;-0.7824;262.78;0.0031;191;-0.0340;178
XAUUSD;PERIOD_M5;26072610;1.50;SlowBreakout;2025.03.03 01:00:00;2026.07.22 16:34:57;349;0.3811;-0.0077;0.9841;21.1217;1.0150;-0.8415;300.71;0.0537;180;-0.0731;169
