cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2875.22000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1001;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 18:24:58;2918.04000000;2907.06000000;2929.02000000;2929.02000000;TP;1.0000;1.0537;-0.3515;14;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741198800|MSZZ|XAUUSD|5|0|1|1741198500|1741198500;1001;XAUUSD;PERIOD_M5;LONG;2025.03.05 18:20:00;2025.03.05 18:25:00;2025.03.05 19:05:00;2929.37000000;2907.06000000;2951.68000000;2922.85000000;OTHER;-0.2922;0.0314;-0.3658;8;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.05 19:54:59;2922.85000000;2930.07000000;2915.63000000;2915.63000000;TP;1.0000;1.0429;-0.0208;9;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1001;XAUUSD;PERIOD_M5;LONG;2025.03.11 06:25:00;2025.03.11 06:30:00;2025.03.11 06:59:57;2897.99000000;2895.93000000;2900.05000000;2900.05000000;TP;1.0000;1.2379;-0.9563;5;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1001;XAUUSD;PERIOD_M5;LONG;2025.03.11 08:55:00;2025.03.11 09:00:00;2025.03.11 09:44:58;2897.83000000;2895.93000000;2899.73000000;2895.93000000;SL;-1.0000;0.6421;-1.0789;8;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;1001;XAUUSD;PERIOD_M5;LONG;2025.03.11 10:25:00;2025.03.11 10:30:00;2025.03.11 10:34:58;2897.99000000;2895.93000000;2900.05000000;2900.05000000;TP;1.0000;1.9612;-0.3107;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741691700|MSZZ|XAUUSD|5|0|-1|1741691400|1741691400;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.11 11:15:00;2025.03.11 11:20:00;2025.03.11 12:04:58;2898.80000000;2902.03000000;2895.57000000;2902.03000000;SL;-1.0000;0.3839;-0.9907;8;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741695000|MSZZ|XAUUSD|5|0|1|1741694700|1741694700;1001;XAUUSD;PERIOD_M5;LONG;2025.03.11 12:10:00;2025.03.11 12:15:00;2025.03.11 14:04:58;2904.33000000;2895.93000000;2912.73000000;2912.73000000;TP;1.0000;1.0524;-0.0524;21;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741809000|MSZZ|XAUUSD|5|0|1|1741806600|1741806600;1001;XAUUSD;PERIOD_M5;LONG;2025.03.12 19:50:00;2025.03.12 19:55:00;2025.03.13 18:44:58;2928.66000000;2895.93000000;2961.39000000;2961.39000000;TP;1.0000;1.1476;-0.0412;273;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1001;XAUUSD;PERIOD_M5;LONG;2025.03.21 19:45:00;2025.03.21 19:50:00;2025.03.21 21:24:58;3014.13000000;3010.00000000;3018.26000000;3018.26000000;TP;1.0000;1.0121;-0.2930;18;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.25 10:40:00;2025.03.25 10:45:00;2025.03.25 17:04:58;3013.13000000;3033.27000000;2992.99000000;3033.27000000;SL;-1.0000;0.1311;-1.0333;75;London
