cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741129800|MSZZ|XAUUSD|5|0|-1|1741127400|1741127400;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.04 23:10:00;2025.03.04 23:15:00;2025.03.05 03:14:58;2915.36000000;2920.58000000;2904.92000000;2904.92000000;TP;2.0000;2.1092;-0.5805;47;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741162200|MSZZ|XAUUSD|5|0|1|1741161300|1741161300;1001;XAUUSD;PERIOD_M5;LONG;2025.03.05 08:10:00;2025.03.05 08:15:00;2025.03.05 09:50:00;2919.48000000;2909.74000000;2938.96000000;2914.26000000;OTHER;-0.5359;0.2248;-0.6561;19;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741167900|MSZZ|XAUUSD|5|0|-1|1741166400|1741166400;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 09:45:00;2025.03.05 09:50:00;2025.03.05 09:54:58;2914.26000000;2915.73000000;2911.32000000;2915.73000000;SL;-1.0000;0.7959;-1.4014;0;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741168800|MSZZ|XAUUSD|5|0|1|1741168500|1741168500;1001;XAUUSD;PERIOD_M5;LONG;2025.03.05 10:00:00;2025.03.05 10:05:00;2025.03.05 12:55:00;2918.98000000;2909.74000000;2937.46000000;2914.39000000;OTHER;-0.4968;0.3864;-1.0768;34;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741179000|MSZZ|XAUUSD|5|0|-1|1741177200|1741177200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 12:50:00;2025.03.05 12:55:00;2025.03.05 12:59:58;2914.39000000;2915.73000000;2911.71000000;2911.71000000;TP;2.0000;4.0000;-0.0746;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741183500|MSZZ|XAUUSD|5|0|-1|1741177200|1741177200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 14:05:00;2025.03.05 14:10:00;2025.03.05 14:14:58;2915.59000000;2917.24000000;2912.29000000;2917.24000000;SL;-1.0000;0.1939;-1.4182;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741185300|MSZZ|XAUUSD|5|0|-1|1741177200|1741177200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 14:35:00;2025.03.05 14:40:00;2025.03.05 14:44:58;2916.53000000;2917.24000000;2915.11000000;2915.11000000;TP;2.0000;3.1549;-0.4930;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741187100|MSZZ|XAUUSD|5|0|-1|1741185900|1741186200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:05:00;2025.03.05 15:10:00;2025.03.05 15:44:58;2912.36000000;2917.24000000;2902.60000000;2902.60000000;TP;2.0000;2.9160;-0.8320;6;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741193700|MSZZ|XAUUSD|5|0|-1|1741185900|1741186200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 16:55:00;2025.03.05 17:00:00;2025.03.05 17:09:57;2911.01000000;2917.24000000;2898.55000000;2917.24000000;SL;-1.0000;0.6340;-1.7207;1;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741196100|MSZZ|XAUUSD|5|0|1|1741194300|1741194300;1001;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:35:00;2025.03.05 17:40:00;2025.03.05 23:05:00;2922.98000000;2907.06000000;2954.82000000;2920.71000000;OTHER;-0.1426;0.4454;-0.7356;65;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741215600|MSZZ|XAUUSD|5|0|-1|1741212900|1741213200;1001;XAUUSD;PERIOD_M5;SHORT;2025.03.05 23:00:00;2025.03.05 23:05:00;2025.03.06 03:35:00;2920.71000000;2923.12000000;2915.89000000;2919.83000000;OTHER;0.3651;1.9917;-0.3734;54;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741231800|MSZZ|XAUUSD|5|0|1|1741230600|1741230600;1001;XAUUSD;PERIOD_M5;LONG;2025.03.06 03:30:00;2025.03.06 03:35:00;2025.03.06 07:04:58;2919.83000000;2915.91000000;2927.67000000;2915.91000000;SL;-1.0000;1.7092;-1.0995;41;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741248300|MSZZ|XAUUSD|5|0|1|1741247700|1741247700;1001;XAUUSD;PERIOD_M5;LONG;2025.03.06 08:05:00;2025.03.06 08:10:00;2025.03.06 09:34:58;2922.07000000;2914.52000000;2937.17000000;2914.52000000;SL;-1.0000;0.1338;-1.1126;16;London
