cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741179000|MSZZ|XAUUSD|5|0|-1|1741177200|1741177200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 12:50:00;2025.03.05 12:55:00;2025.03.05 12:59:58;2914.39000000;2915.73000000;2911.71000000;2911.71000000;TP;2.0000;4.0000;-0.0746;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2906.58000000;2940.96000000;2922.85000000;OTHER;0.4197;1.0497;-0.3368;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.06 10:04:58;2922.85000000;2930.07000000;2908.41000000;2908.41000000;TP;2.0000;2.2701;-0.5097;179;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741277100|MSZZ|XAUUSD|5|0|1|1741276800|1741276800;1010;XAUUSD;PERIOD_M5;LONG;2025.03.06 16:05:00;2025.03.06 16:10:00;2025.03.07 05:50:00;2909.78000000;2852.58000000;3024.18000000;2904.54000000;OTHER;-0.0916;0.2267;-0.2614;164;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741326300|MSZZ|XAUUSD|5|0|-1|1741324800|1741325700;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.07 05:45:00;2025.03.07 05:50:00;2025.03.07 07:10:00;2904.54000000;2909.27000000;2895.08000000;2908.93000000;OTHER;-0.9281;0.1121;-1.0994;16;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741331100|MSZZ|XAUUSD|5|0|1|1741327500|1741327500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.07 07:05:00;2025.03.07 07:10:00;2025.03.18 11:24:58;2908.93000000;2852.58000000;3021.63000000;3021.63000000;TP;2.0000;2.0211;-0.5097;3218;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742885100|MSZZ|XAUUSD|5|0|-1|1742855400|1742856000;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.25 06:45:00;2025.03.25 06:50:00;2025.03.25 16:39:58;3015.23000000;3028.28000000;2989.13000000;3028.28000000;SL;-1.0000;0.3632;-1.0644;117;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742935500|MSZZ|XAUUSD|5|0|-1|1742932800|1742933100;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.25 20:45:00;2025.03.25 20:50:00;2025.03.27 13:25:00;3021.22000000;3051.50000000;2960.66000000;3050.92000000;OTHER;-0.9808;0.2903;-1.0601;487;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743081600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:20:00;2025.03.27 13:25:00;2025.03.27 16:14:58;3050.92000000;3045.75000000;3061.26000000;3045.75000000;SL;-1.0000;0.9749;-1.1567;33;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743091800|MSZZ|XAUUSD|5|0|-1|1743091200|1743091200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 16:10:00;2025.03.27 16:15:00;2025.03.27 16:39:58;3046.09000000;3050.81000000;3036.65000000;3036.65000000;TP;2.0000;2.3665;-0.1144;4;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743096600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 17:30:00;2025.03.27 17:35:00;2025.03.31 01:04:58;3051.43000000;3033.44000000;3087.41000000;3087.41000000;TP;2.0000;2.3457;-0.2046;953;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743770700|MSZZ|XAUUSD|5|0|1|1743768000|1743768000;1010;XAUUSD;PERIOD_M5;LONG;2025.04.04 12:45:00;2025.04.04 12:50:00;2025.04.04 15:55:00;3091.29000000;3054.02000000;3165.83000000;3070.38000000;OTHER;-0.5610;1.2133;-0.5967;37;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743781800|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.04 15:50:00;2025.04.04 15:55:00;2025.04.04 16:19:58;3070.38000000;3085.26000000;3040.62000000;3085.26000000;SL;-1.0000;0.0894;-1.1478;4;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743783900|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.04 16:25:00;2025.04.04 16:30:00;2025.04.04 17:04:57;3075.80000000;3085.26000000;3056.88000000;3056.88000000;TP;2.0000;2.4249;-0.4884;6;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744008300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.07 06:45:00;2025.04.07 06:50:00;2025.04.09 14:19:58;3019.54000000;3055.68000000;2947.26000000;3055.68000000;SL;-1.0000;1.7532;-1.0553;665;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1010;XAUUSD;PERIOD_M5;LONG;2025.04.10 05:20:00;2025.04.10 05:25:00;2025.04.10 17:39:58;3114.01000000;3095.40000000;3151.23000000;3151.23000000;TP;2.0000;2.0768;-0.5846;146;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744407000|MSZZ|XAUUSD|5|0|1|1744304400|1744304400;1010;XAUUSD;PERIOD_M5;LONG;2025.04.11 21:30:00;2025.04.11 21:35:00;2025.04.21 15:49:58;3237.03000000;3151.54000000;3408.01000000;3408.01000000;TP;2.0000;2.0296;-0.5082;2810;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745350800|MSZZ|XAUUSD|5|0|1|1744742100|1744742400;1010;XAUUSD;PERIOD_M5;LONG;2025.04.22 19:40:00;2025.04.22 19:45:00;2025.04.24 06:35:00;3383.75000000;3216.90000000;3717.45000000;3323.12000000;OTHER;-0.3634;0.1591;-0.7417;418;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745476200|MSZZ|XAUUSD|5|0|-1|1744759200|1744759500;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 06:30:00;2025.04.24 06:35:00;2025.04.24 18:10:00;3323.12000000;3358.49000000;3252.38000000;3325.35000000;OTHER;-0.0630;0.4614;-0.6081;139;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745517900|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 18:05:00;2025.04.24 18:10:00;2025.04.24 18:19:58;3325.35000000;3322.21000000;3331.63000000;3322.21000000;SL;-1.0000;0.7643;-1.8535;1;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745518500|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:15:00;2025.04.24 18:20:00;2025.04.24 18:30:00;3320.89000000;3344.63000000;3273.41000000;3324.19000000;OTHER;-0.1390;0.0560;-0.3669;2;NewYork
