cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741118100|MSZZ|XAUUSD|5|0|-1|1740501600|1740501600;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.04 19:55:00;2025.03.04 20:00:00;2025.03.04 21:59:58;2911.64000000;2916.40000000;2902.12000000;2916.40000000;SL;-1.0000;0.7059;-1.0252;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741193400|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 16:50:00;2025.03.05 16:55:00;2025.03.05 19:00:00;2915.19000000;2906.58000000;2932.41000000;2923.79000000;OTHER;0.9988;1.7282;-0.9443;25;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741200900|MSZZ|XAUUSD|5|0|-1|1741197300|1741197300;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 18:55:00;2025.03.05 19:00:00;2025.03.05 22:45:00;2923.79000000;2930.07000000;2911.23000000;2922.79000000;OTHER;0.1592;1.9936;-0.2484;45;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741214400|MSZZ|XAUUSD|5|0|1|1741213500|1741213500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 22:40:00;2025.03.05 22:45:00;2025.03.05 23:10:00;2922.79000000;2913.51000000;2941.35000000;2919.52000000;OTHER;-0.3524;0.0356;-0.4106;5;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741215900|MSZZ|XAUUSD|5|0|-1|1741215600|1741215600;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 23:05:00;2025.03.05 23:10:00;2025.03.06 03:40:00;2919.52000000;2923.12000000;2912.32000000;2921.70000000;OTHER;-0.6056;1.0028;-0.9667;54;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741232100|MSZZ|XAUUSD|5|0|1|1741213500|1741213500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.06 03:35:00;2025.03.06 03:40:00;2025.03.06 05:35:00;2921.70000000;2915.91000000;2933.28000000;2922.63000000;OTHER;0.1606;0.8342;-0.1019;23;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741239000|MSZZ|XAUUSD|5|0|-1|1741215600|1741215600;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.06 05:30:00;2025.03.06 05:35:00;2025.03.06 06:44:58;2922.63000000;2925.62000000;2916.65000000;2916.65000000;TP;2.0000;2.1171;-0.1204;13;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741252800|MSZZ|XAUUSD|5|0|-1|1741251900|1741251900;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.06 09:20:00;2025.03.06 09:25:00;2025.03.06 09:59:58;2917.46000000;2920.71000000;2910.96000000;2910.96000000;TP;2.0000;2.3477;-0.2400;6;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741666500|MSZZ|XAUUSD|5|0|-1|1741642500|1741642500;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.11 04:15:00;2025.03.11 04:20:00;2025.03.11 06:30:00;2887.11000000;2908.42000000;2844.49000000;2897.99000000;OTHER;-0.5106;0.3219;-0.5734;26;Asian
