cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2906.58000000;2940.96000000;2922.85000000;OTHER;0.4197;1.0497;-0.3368;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.06 10:04:58;2922.85000000;2930.07000000;2908.41000000;2908.41000000;TP;2.0000;2.2701;-0.5097;179;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 06:25:00;2025.03.11 06:30:00;2025.03.12 20:09:58;2897.99000000;2880.25000000;2933.47000000;2933.47000000;TP;2.0000;2.1843;-0.2971;451;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1010;XAUUSD;PERIOD_M5;LONG;2025.03.21 19:45:00;2025.03.21 19:50:00;2025.03.21 21:44:58;3014.13000000;3010.63000000;3021.13000000;3021.13000000;TP;2.0000;2.1457;-0.3457;22;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742930400|MSZZ|XAUUSD|5|0|1|1742919000|1742919300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.25 19:20:00;2025.03.25 19:25:00;2025.03.25 21:20:00;3023.74000000;3018.04000000;3035.14000000;3020.21000000;OTHER;-0.6193;0.3228;-0.8158;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.26 04:59:58;3020.21000000;3025.58000000;3009.47000000;3025.58000000;SL;-1.0000;0.7132;-0.9814;91;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742981700|MSZZ|XAUUSD|5|0|-1|1742923800|1742923800;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.26 09:35:00;2025.03.26 09:40:00;2025.03.26 10:09:58;3024.66000000;3027.13000000;3019.72000000;3027.13000000;SL;-1.0000;0.1862;-1.1903;5;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742987100|MSZZ|XAUUSD|5|0|1|1742986500|1742986500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.26 11:05:00;2025.03.26 11:10:00;2025.03.26 11:20:00;3031.45000000;3013.58000000;3067.19000000;3028.63000000;OTHER;-0.1578;0.0078;-0.2893;2;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742987700|MSZZ|XAUUSD|5|0|-1|1742987400|1742987400;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.26 11:15:00;2025.03.26 11:20:00;2025.03.26 12:14:58;3028.63000000;3032.07000000;3021.75000000;3021.75000000;TP;2.0000;2.1599;-0.0174;10;London
