cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741087500|MSZZ|XAUUSD|5|1|1|1741084500|1741085100;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 11:25:00;2025.03.04 11:30:00;2025.03.04 16:35:00;2920.10000000;2910.48000000;2939.34000000;2914.12000000;OTHER;-0.6216;0.8046;-0.9834;61;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741105800|MSZZ|XAUUSD|5|1|-1|1741091400|1741093500;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.04 16:30:00;2025.03.04 16:35:00;2025.03.04 21:10:00;2914.12000000;2923.79000000;2894.78000000;2914.31000000;OTHER;-0.0196;1.4333;-0.2358;55;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741122300|MSZZ|XAUUSD|5|1|1|1741115400|1741118100;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 21:05:00;2025.03.04 21:10:00;2025.03.04 23:20:00;2914.31000000;2911.03000000;2920.87000000;2914.75000000;OTHER;0.1341;1.9116;-0.7530;26;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741130100|MSZZ|XAUUSD|5|1|-1|1741128000|1741128900;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.04 23:15:00;2025.03.04 23:20:00;2025.03.04 23:50:00;2914.75000000;2918.44000000;2907.37000000;2917.72000000;OTHER;-0.8049;0.4201;-0.8482;6;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741131900|MSZZ|XAUUSD|5|1|1|1741129200|1741130100;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 23:45:00;2025.03.04 23:50:00;2025.03.05 02:04:58;2917.72000000;2913.20000000;2926.76000000;2913.20000000;SL;-1.0000;0.1482;-1.1792;26;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741153500|MSZZ|XAUUSD|5|1|1|1741148100|1741148700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 05:45:00;2025.03.05 05:50:00;2025.03.05 07:40:00;2913.14000000;2902.06000000;2935.30000000;2911.98000000;OTHER;-0.1047;0.0181;-0.4152;22;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741160100|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 07:35:00;2025.03.05 07:40:00;2025.03.05 07:45:00;2911.98000000;2913.45000000;2909.04000000;2913.38000000;OTHER;-0.9524;0.0000;-2.5510;1;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741160400|MSZZ|XAUUSD|5|1|1|1741153500|1741157700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 07:40:00;2025.03.05 07:45:00;2025.03.05 08:19:58;2913.38000000;2909.74000000;2920.66000000;2920.66000000;TP;2.0000;2.2775;-0.1374;6;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741164000|MSZZ|XAUUSD|5|1|1|1741160700|1741160700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 08:40:00;2025.03.05 08:45:00;2025.03.05 12:59:58;2917.75000000;2909.74000000;2933.77000000;2909.74000000;SL;-1.0000;0.5993;-1.0886;50;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741183800|MSZZ|XAUUSD|5|1|1|1741182300|1741182600;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 14:10:00;2025.03.05 14:15:00;2025.03.05 15:34:58;2918.06000000;2909.03000000;2936.12000000;2909.03000000;SL;-1.0000;0.1373;-1.2713;15;London
