cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741143900|MSZZ|XAUUSD|5|1|-1|1741138500|1741138500;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 03:05:00;2025.03.05 03:10:00;2025.03.05 03:14:58;2913.21000000;2917.00000000;2905.63000000;2905.63000000;TP;2.0000;2.3377;-0.0950;0;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741153500|MSZZ|XAUUSD|5|1|1|1741148100|1741148700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 05:45:00;2025.03.05 05:50:00;2025.03.05 07:00:00;2913.14000000;2903.59000000;2932.24000000;2910.47000000;OTHER;-0.2796;-0.0042;-0.4817;14;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741157700|MSZZ|XAUUSD|5|1|-1|1741154400|1741155600;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 06:55:00;2025.03.05 07:00:00;2025.03.05 07:29:58;2910.47000000;2912.66000000;2906.09000000;2912.66000000;SL;-1.0000;0.2237;-1.1142;5;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741159500|MSZZ|XAUUSD|5|1|1|1741156500|1741157700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 07:25:00;2025.03.05 07:30:00;2025.03.05 07:54:58;2912.10000000;2909.74000000;2916.82000000;2916.82000000;TP;2.0000;2.1568;-0.3941;4;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741161000|MSZZ|XAUUSD|5|1|1|1741160700|1741160700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 07:50:00;2025.03.05 07:55:00;2025.03.05 11:35:00;2917.17000000;2909.74000000;2932.03000000;2915.15000000;OTHER;-0.2719;0.7241;-0.5491;44;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741174200|MSZZ|XAUUSD|5|1|-1|1741157700|1741158600;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 11:30:00;2025.03.05 11:35:00;2025.03.05 11:39:57;2915.15000000;2915.73000000;2913.99000000;2913.99000000;TP;2.0000;3.3621;-2.5862;0;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741177200|MSZZ|XAUUSD|5|1|-1|1741157700|1741158600;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 12:20:00;2025.03.05 12:25:00;2025.03.05 12:29:58;2914.46000000;2915.73000000;2911.92000000;2915.73000000;SL;-1.0000;0.0079;-2.6378;0;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741183800|MSZZ|XAUUSD|5|1|1|1741182300|1741182600;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 14:10:00;2025.03.05 14:15:00;2025.03.05 15:34:58;2918.06000000;2909.03000000;2936.12000000;2909.03000000;SL;-1.0000;0.1373;-1.2713;15;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741189200|MSZZ|XAUUSD|5|1|-1|1741188600|1741188600;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:40:00;2025.03.05 15:45:00;2025.03.05 16:44:57;2899.88000000;2917.24000000;2865.16000000;2917.24000000;SL;-1.0000;0.3404;-0.9988;11;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741194300|MSZZ|XAUUSD|5|1|1|1741192800|1741193700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2907.06000000;2940.00000000;2922.85000000;OTHER;0.4381;1.0956;-0.3515;23;NewYork
