cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741087500|MSZZ|XAUUSD|5|1|1|1741084500|1741085400;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 11:25:00;2025.03.04 11:30:00;2025.03.04 16:35:00;2920.10000000;2910.48000000;2939.34000000;2914.12000000;OTHER;-0.6216;0.8046;-0.9834;61;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741105800|MSZZ|XAUUSD|5|1|-1|1741091400|1741093500;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.04 16:30:00;2025.03.04 16:35:00;2025.03.04 21:40:00;2914.12000000;2921.69000000;2898.98000000;2914.15000000;OTHER;-0.0040;1.8309;-0.3012;61;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741124100|MSZZ|XAUUSD|5|1|1|1741115400|1741117200;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 21:35:00;2025.03.04 21:40:00;2025.03.04 22:24:57;2914.15000000;2911.03000000;2920.39000000;2920.39000000;TP;2.0000;2.0609;-0.2212;8;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741130100|MSZZ|XAUUSD|5|1|-1|1741128000|1741129200;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.04 23:15:00;2025.03.04 23:20:00;2025.03.04 23:50:00;2914.75000000;2918.44000000;2907.37000000;2917.72000000;OTHER;-0.8049;0.4201;-0.8482;6;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741131900|MSZZ|XAUUSD|5|1|1|1741129200|1741130100;1012;XAUUSD;PERIOD_M5;LONG;2025.03.04 23:45:00;2025.03.04 23:50:00;2025.03.05 02:04:58;2917.72000000;2913.20000000;2926.76000000;2913.20000000;SL;-1.0000;0.1482;-1.1792;26;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741153500|MSZZ|XAUUSD|5|1|1|1741148100|1741148700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 05:45:00;2025.03.05 05:50:00;2025.03.05 09:25:00;2913.14000000;2902.14000000;2935.14000000;2915.33000000;OTHER;0.1991;0.7755;-0.4182;43;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741166400|MSZZ|XAUUSD|5|1|-1|1741157700|1741159500;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 09:20:00;2025.03.05 09:25:00;2025.03.05 09:29:57;2915.33000000;2915.73000000;2914.53000000;2915.73000000;SL;-1.0000;0.0000;-3.4250;0;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741168800|MSZZ|XAUUSD|5|1|1|1741160700|1741160700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 10:00:00;2025.03.05 10:05:00;2025.03.05 12:59:58;2918.98000000;2909.74000000;2937.46000000;2909.74000000;SL;-1.0000;0.3864;-1.0768;34;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741183800|MSZZ|XAUUSD|5|1|1|1741182300|1741182600;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 14:10:00;2025.03.05 14:15:00;2025.03.05 15:34:58;2918.06000000;2909.03000000;2936.12000000;2909.03000000;SL;-1.0000;0.1373;-1.2713;15;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741189200|MSZZ|XAUUSD|5|1|-1|1741188600|1741188600;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:40:00;2025.03.05 15:45:00;2025.03.05 16:44:57;2899.88000000;2917.24000000;2865.16000000;2917.24000000;SL;-1.0000;0.3404;-0.9988;11;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741194300|MSZZ|XAUUSD|5|1|1|1741192800|1741194000;1012;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 23:05:00;2918.04000000;2907.06000000;2940.00000000;2920.71000000;OTHER;0.2432;1.0956;-0.6166;71;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741215600|MSZZ|XAUUSD|5|1|-1|1741207200|1741209300;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.05 23:00:00;2025.03.05 23:05:00;2025.03.06 03:35:00;2920.71000000;2923.12000000;2915.89000000;2919.83000000;OTHER;0.3651;1.9917;-0.3734;54;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741231800|MSZZ|XAUUSD|5|1|1|1741227300|1741227600;1012;XAUUSD;PERIOD_M5;LONG;2025.03.06 03:30:00;2025.03.06 03:35:00;2025.03.06 05:05:00;2919.83000000;2915.91000000;2927.67000000;2924.51000000;OTHER;1.1939;1.7092;-0.0561;18;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741237200|MSZZ|XAUUSD|5|1|-1|1741235700|1741237200;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.06 05:00:00;2025.03.06 05:05:00;2025.03.06 05:44:58;2924.51000000;2926.53000000;2920.47000000;2920.47000000;TP;2.0000;2.0693;-0.0792;7;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741248000|MSZZ|XAUUSD|5|1|1|1741247700|1741247700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.06 08:00:00;2025.03.06 08:05:00;2025.03.06 09:34:58;2921.01000000;2914.52000000;2933.99000000;2914.52000000;SL;-1.0000;0.3190;-1.1310;17;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:2|67:BO|XAUUSD|5|1|S|1741253400|MSZZ|XAUUSD|5|1|-1|1741252800|1741252800;1012;XAUUSD;PERIOD_M5;SHORT;2025.03.06 09:30:00;2025.03.06 09:35:00;2025.03.06 10:39:57;2914.96000000;2920.71000000;2903.46000000;2903.46000000;TP;2.0000;2.0435;-0.2452;12;London
MSZZC1|6:XAUUSD|1:5|1:1|1:2|66:BO|XAUUSD|5|1|L|1741267800|MSZZ|XAUUSD|5|1|1|1741264500|1741265700;1012;XAUUSD;PERIOD_M5;LONG;2025.03.06 13:30:00;2025.03.06 13:35:00;2025.03.06 14:05:00;2906.96000000;2898.60000000;2923.68000000;2904.78000000;OTHER;-0.2608;0.0419;-0.4856;6;London
