cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741277100|MSZZ|XAUUSD|5|0|1|1741276800|1741276800;1030;XAUUSD;PERIOD_M5;LONG;2025.03.06 16:05:00;2025.03.06 16:10:00;2025.03.18 11:29:58;2909.78000000;2852.58000000;3024.18000000;3024.18000000;TP;2.0000;2.0269;-0.5170;3399;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742885100|MSZZ|XAUUSD|5|0|-1|1742855400|1742856000;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 06:45:00;2025.03.25 06:50:00;2025.03.25 16:39:58;3015.23000000;3028.28000000;2989.13000000;3028.28000000;SL;-1.0000;0.3632;-1.0644;117;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742935500|MSZZ|XAUUSD|5|0|-1|1742932800|1742933100;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 20:45:00;2025.03.25 20:50:00;2025.03.27 13:25:00;3021.22000000;3051.50000000;2960.66000000;3050.92000000;OTHER;-0.9808;0.2903;-1.0601;487;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743081600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1030;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:20:00;2025.03.27 13:25:00;2025.03.27 16:14:58;3050.92000000;3045.75000000;3061.26000000;3045.75000000;SL;-1.0000;0.9749;-1.1567;33;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743137100|MSZZ|XAUUSD|5|0|1|1743072300|1743072300;1030;XAUUSD;PERIOD_M5;LONG;2025.03.28 04:45:00;2025.03.28 04:50:00;2025.03.31 06:09:58;3072.10000000;3054.17000000;3107.96000000;3107.96000000;TP;2.0000;2.1829;-0.3302;879;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743541200|MSZZ|XAUUSD|5|0|1|1743069600|1743069600;1030;XAUUSD;PERIOD_M5;LONG;2025.04.01 21:00:00;2025.04.01 21:05:00;2025.04.03 16:14:58;3115.44000000;3054.17000000;3237.98000000;3054.17000000;SL;-1.0000;0.8546;-1.0024;517;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743770700|MSZZ|XAUUSD|5|0|1|1743768000|1743768000;1030;XAUUSD;PERIOD_M5;LONG;2025.04.04 12:45:00;2025.04.04 12:50:00;2025.04.04 17:04:57;3091.29000000;3054.02000000;3165.83000000;3054.02000000;SL;-1.0000;1.2133;-1.0311;50;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744020300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.07 10:05:00;2025.04.07 10:10:00;2025.04.07 14:09:58;3018.22000000;3037.34000000;2979.98000000;3037.34000000;SL;-1.0000;0.2599;-1.2296;47;London
