cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741695000|MSZZ|XAUUSD|5|0|1|1741694700|1741694700;1030;XAUUSD;PERIOD_M5;LONG;2025.03.11 12:10:00;2025.03.11 12:15:00;2025.03.11 17:49:57;2904.33000000;2895.93000000;2921.13000000;2921.13000000;TP;2.0000;2.1310;-0.0524;66;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741809000|MSZZ|XAUUSD|5|0|1|1741806600|1741806600;1030;XAUUSD;PERIOD_M5;LONG;2025.03.12 19:50:00;2025.03.12 19:55:00;2025.03.14 13:09:58;2928.66000000;2895.93000000;2994.12000000;2994.12000000;TP;2.0000;2.0113;-0.0412;494;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 10:40:00;2025.03.25 10:45:00;2025.03.25 17:04:58;3013.13000000;3033.27000000;2972.85000000;3033.27000000;SL;-1.0000;0.1311;-1.0333;75;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1030;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:45:00;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.40000000;3045.75000000;3071.70000000;3045.75000000;SL;-1.0000;0.1803;-1.0936;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743395100|MSZZ|XAUUSD|5|0|1|1743069600|1743069600;1030;XAUUSD;PERIOD_M5;LONG;2025.03.31 04:25:00;2025.03.31 04:30:00;2025.04.03 02:54:57;3091.65000000;3054.17000000;3166.61000000;3166.61000000;TP;2.0000;2.0318;-0.0464;844;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744008300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.07 06:45:00;2025.04.07 06:50:00;2025.04.10 05:19:58;3019.54000000;3114.87000000;2828.88000000;3114.87000000;SL;-1.0000;0.6646;-1.0239;845;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1030;XAUUSD;PERIOD_M5;LONG;2025.04.10 05:20:00;2025.04.10 05:25:00;2025.04.11 01:34:58;3114.01000000;3078.43000000;3185.17000000;3185.17000000;TP;2.0000;2.0995;-0.3058;241;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745365800|MSZZ|XAUUSD|5|0|1|1744742100|1744742400;1030;XAUUSD;PERIOD_M5;LONG;2025.04.22 23:50:00;2025.04.22 23:55:00;2025.04.24 18:05:00;3382.18000000;3216.90000000;3712.74000000;3322.58000000;OTHER;-0.3606;0.0267;-0.7393;506;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745517600|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:00:00;2025.04.24 18:05:00;2025.04.24 22:54:59;3322.58000000;3344.63000000;3278.48000000;3344.63000000;SL;-1.0000;0.1383;-1.0531;57;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745544300|MSZZ|XAUUSD|5|0|1|1745542800|1745542800;1030;XAUUSD;PERIOD_M5;LONG;2025.04.25 01:25:00;2025.04.25 01:30:00;2025.04.25 06:54:58;3363.46000000;3333.46000000;3423.46000000;3333.46000000;SL;-1.0000;0.2437;-1.0017;64;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745616900|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.25 21:35:00;2025.04.25 21:40:00;2025.04.28 21:29:58;3291.29000000;3347.01000000;3179.85000000;3347.01000000;SL;-1.0000;0.4144;-1.0513;861;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746037500|MSZZ|XAUUSD|5|0|-1|1746036600|1746036900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.30 18:25:00;2025.04.30 18:30:00;2025.05.01 07:04:58;3306.43000000;3345.87000000;3227.55000000;3227.55000000;TP;2.0000;2.0568;-0.1970;150;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746168600|MSZZ|XAUUSD|5|0|-1|1746053700|1746053700;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.02 06:50:00;2025.05.02 06:55:00;2025.05.06 04:04:57;3256.65000000;3345.87000000;3078.21000000;3345.87000000;SL;-1.0000;0.3795;-1.0495;1117;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747045500|MSZZ|XAUUSD|5|0|-1|1747045200|1747045200;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.12 10:25:00;2025.05.12 10:30:00;2025.05.13 07:54:58;3231.18000000;3253.36000000;3186.82000000;3253.36000000;SL;-1.0000;1.0555;-1.0063;256;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1747693500|MSZZ|XAUUSD|5|0|1|1747689900|1747689900;1030;XAUUSD;PERIOD_M5;LONG;2025.05.19 22:25:00;2025.05.19 22:30:00;2025.05.20 12:40:00;3234.45000000;3187.90000000;3327.55000000;3235.76000000;OTHER;0.0281;0.1048;-0.6417;170;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747744500|MSZZ|XAUUSD|5|0|-1|1747668000|1747668000;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.20 12:35:00;2025.05.20 12:40:00;2025.05.20 16:59:58;3235.76000000;3257.10000000;3193.08000000;3257.10000000;SL;-1.0000;0.1785;-1.2170;51;London
