cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741226700|MSZZ|XAUUSD|5|0|-1|1741075500|1741075500;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.06 02:05:00;2025.03.06 02:10:00;2025.03.06 03:44:58;2918.32000000;2923.12000000;2908.72000000;2923.12000000;SL;-1.0000;0.5021;-0.9750;18;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741237800|MSZZ|XAUUSD|5|0|1|1741232400|1741232400;1030;XAUUSD;PERIOD_M5;LONG;2025.03.06 05:10:00;2025.03.06 05:15:00;2025.03.06 05:19:58;2923.61000000;2922.94000000;2924.95000000;2922.94000000;SL;-1.0000;0.6567;-1.0000;0;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741238700|MSZZ|XAUUSD|5|0|1|1741232400|1741232400;1030;XAUUSD;PERIOD_M5;LONG;2025.03.06 05:25:00;2025.03.06 05:30:00;2025.03.06 05:34:58;2923.29000000;2922.94000000;2923.99000000;2922.94000000;SL;-1.0000;0.9714;-2.0000;0;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741252800|MSZZ|XAUUSD|5|0|-1|1741251900|1741251900;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.06 09:20:00;2025.03.06 09:25:00;2025.03.06 09:59:58;2917.46000000;2920.71000000;2910.96000000;2910.96000000;TP;2.0000;2.3477;-0.2400;6;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741666500|MSZZ|XAUUSD|5|0|-1|1741642500|1741642500;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.11 04:15:00;2025.03.11 04:20:00;2025.03.11 12:44:58;2887.11000000;2908.42000000;2844.49000000;2908.42000000;SL;-1.0000;0.3219;-1.0399;100;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741721700|MSZZ|XAUUSD|5|0|1|1741714200|1741714200;1030;XAUUSD;PERIOD_M5;LONG;2025.03.11 19:35:00;2025.03.11 19:40:00;2025.03.13 18:44:58;2917.52000000;2895.93000000;2960.70000000;2960.70000000;TP;2.0000;2.2557;-0.5336;564;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742198700|MSZZ|XAUUSD|5|0|1|1741802100|1741802100;1030;XAUUSD;PERIOD_M5;LONG;2025.03.17 08:05:00;2025.03.17 08:10:00;2025.03.24 22:55:00;2984.19000000;2895.93000000;3160.71000000;3005.35000000;OTHER;0.2397;0.8289;-0.0190;2193;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742856600|MSZZ|XAUUSD|5|0|-1|1742855400|1742856000;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.24 22:50:00;2025.03.24 22:55:00;2025.03.25 17:04:58;3005.35000000;3033.27000000;2949.51000000;3033.27000000;SL;-1.0000;0.0014;-1.0240;217;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1030;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:45:00;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.40000000;3045.75000000;3071.70000000;3045.75000000;SL;-1.0000;0.1803;-1.0936;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743395100|MSZZ|XAUUSD|5|0|1|1743069600|1743069600;1030;XAUUSD;PERIOD_M5;LONG;2025.03.31 04:25:00;2025.03.31 04:30:00;2025.04.03 02:54:57;3091.65000000;3054.17000000;3166.61000000;3166.61000000;TP;2.0000;2.0318;-0.0464;844;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744008300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.07 06:45:00;2025.04.07 06:50:00;2025.04.09 20:20:00;3019.54000000;3114.87000000;2828.88000000;3092.50000000;OTHER;-0.7653;0.6646;-0.8343;738;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744229700|MSZZ|XAUUSD|5|0|1|1743775500|1743775500;1030;XAUUSD;PERIOD_M5;LONG;2025.04.09 20:15:00;2025.04.09 20:20:00;2025.04.09 20:29:58;3092.50000000;3065.42000000;3146.66000000;3065.42000000;SL;-1.0000;0.2426;-1.2422;1;NewYork
