cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741809000|MSZZ|XAUUSD|5|0|1|1741806600|1741806600;1030;XAUUSD;PERIOD_M5;LONG;2025.03.12 19:50:00;2025.03.12 19:55:00;2025.03.13 18:44:58;2928.66000000;2910.11000000;2965.76000000;2965.76000000;TP;2.0000;2.0248;-0.0728;273;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1030;XAUUSD;PERIOD_M5;LONG;2025.03.21 19:45:00;2025.03.21 19:50:00;2025.03.25 10:45:00;3014.13000000;2984.77000000;3072.85000000;3013.13000000;OTHER;-0.0341;0.6519;-0.3968;1043;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 10:40:00;2025.03.25 10:45:00;2025.03.25 16:39:58;3013.13000000;3028.28000000;2982.83000000;3028.28000000;SL;-1.0000;0.1743;-1.0554;70;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1030;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:45:00;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.40000000;3045.75000000;3071.70000000;3045.75000000;SL;-1.0000;0.1803;-1.0936;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1030;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743097500|MSZZ|XAUUSD|5|0|1|1743096900|1743096900;1030;XAUUSD;PERIOD_M5;LONG;2025.03.27 17:45:00;2025.03.27 17:50:00;2025.03.31 06:09:58;3059.21000000;3033.44000000;3110.75000000;3110.75000000;TP;2.0000;2.0190;-0.4447;1011;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743541200|MSZZ|XAUUSD|5|0|1|1743069600|1743069600;1030;XAUUSD;PERIOD_M5;LONG;2025.04.01 21:00:00;2025.04.01 21:05:00;2025.04.04 15:55:00;3115.44000000;3015.20000000;3315.92000000;3070.38000000;OTHER;-0.4495;0.5223;-0.6127;802;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743781800|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.04 15:50:00;2025.04.04 15:55:00;2025.04.04 17:49:57;3070.38000000;3090.78000000;3029.58000000;3029.58000000;TP;2.0000;2.0118;-0.8373;22;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744008300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.07 06:45:00;2025.04.07 06:50:00;2025.04.09 19:19:58;3019.54000000;3090.78000000;2877.06000000;3090.78000000;SL;-1.0000;0.8894;-0.9997;725;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1030;XAUUSD;PERIOD_M5;LONG;2025.04.10 05:20:00;2025.04.10 05:25:00;2025.04.10 17:39:58;3114.01000000;3095.40000000;3151.23000000;3151.23000000;TP;2.0000;2.0768;-0.5846;146;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745365800|MSZZ|XAUUSD|5|0|1|1744742100|1744742400;1030;XAUUSD;PERIOD_M5;LONG;2025.04.22 23:50:00;2025.04.22 23:55:00;2025.04.25 06:50:00;3382.18000000;3216.90000000;3712.74000000;3338.36000000;OTHER;-0.2651;0.0267;-0.7393;659;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745563500|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.25 06:45:00;2025.04.25 06:50:00;2025.04.25 08:49:58;3338.36000000;3354.13000000;3306.82000000;3306.82000000;TP;2.0000;2.4578;-0.0101;23;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745616900|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.25 21:35:00;2025.04.25 21:40:00;2025.04.25 22:39:58;3291.29000000;3299.95000000;3273.97000000;3299.95000000;SL;-1.0000;0.3949;-1.5716;11;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745814300|MSZZ|XAUUSD|5|0|-1|1745564100|1745564100;1030;XAUUSD;PERIOD_M5;SHORT;2025.04.28 04:25:00;2025.04.28 04:30:00;2025.04.28 17:19:57;3291.02000000;3304.90000000;3263.26000000;3304.90000000;SL;-1.0000;1.6441;-1.2320;153;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746069600|MSZZ|XAUUSD|5|0|-1|1746067200|1746067200;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.01 03:20:00;2025.05.01 03:25:00;2025.05.05 12:30:00;3261.31000000;3313.67000000;3156.59000000;3302.25000000;OTHER;-0.7819;1.1335;-0.8419;1261;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1746447900|MSZZ|XAUUSD|5|0|1|1746447600|1746447600;1030;XAUUSD;PERIOD_M5;LONG;2025.05.05 12:25:00;2025.05.05 12:30:00;2025.05.05 17:09:58;3302.25000000;3291.94000000;3322.87000000;3322.87000000;TP;2.0000;2.5732;-0.2473;55;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747045500|MSZZ|XAUUSD|5|0|-1|1747045200|1747045200;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.12 10:25:00;2025.05.12 10:30:00;2025.05.13 07:54:58;3231.18000000;3253.36000000;3186.82000000;3253.36000000;SL;-1.0000;1.0555;-1.0063;256;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747744500|MSZZ|XAUUSD|5|0|-1|1747668000|1747668000;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.20 12:35:00;2025.05.20 12:40:00;2025.05.20 16:59:58;3235.76000000;3251.17000000;3204.94000000;3251.17000000;SL;-1.0000;0.2472;-1.6853;51;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1747760400|MSZZ|XAUUSD|5|0|1|1747760100|1747760100;1030;XAUUSD;PERIOD_M5;LONG;2025.05.20 17:00:00;2025.05.20 17:05:00;2025.05.21 04:04:57;3271.08000000;3250.41000000;3312.42000000;3312.42000000;TP;2.0000;2.1118;-0.0348;131;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748413200|MSZZ|XAUUSD|5|0|-1|1748412900|1748412900;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.28 06:20:00;2025.05.28 06:25:00;2025.05.28 10:44:58;3296.02000000;3315.27000000;3257.52000000;3315.27000000;SL;-1.0000;0.2249;-1.1247;51;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748432700|MSZZ|XAUUSD|5|0|1|1748428800|1748428800;1030;XAUUSD;PERIOD_M5;LONG;2025.05.28 11:45:00;2025.05.28 11:50:00;2025.05.28 14:14:58;3320.81000000;3310.36000000;3341.71000000;3310.36000000;SL;-1.0000;0.4517;-1.0651;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748450100|MSZZ|XAUUSD|5|0|-1|1748448900|1748448900;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.28 16:35:00;2025.05.28 16:40:00;2025.05.30 04:20:00;3303.78000000;3336.84000000;3237.66000000;3320.02000000;OTHER;-0.4912;1.7635;-0.8306;428;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748578500|MSZZ|XAUUSD|5|0|1|1748540700|1748540700;1030;XAUUSD;PERIOD_M5;LONG;2025.05.30 04:15:00;2025.05.30 04:20:00;2025.05.30 04:44:58;3320.02000000;3310.45000000;3339.16000000;3310.45000000;SL;-1.0000;0.2832;-1.0136;4;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748594700|MSZZ|XAUUSD|5|0|1|1748594100|1748594100;1030;XAUUSD;PERIOD_M5;LONG;2025.05.30 08:45:00;2025.05.30 08:50:00;2025.05.30 09:29:58;3300.87000000;3291.26000000;3320.09000000;3291.26000000;SL;-1.0000;0.4329;-1.0822;7;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748610300|MSZZ|XAUUSD|5|0|1|1748607600|1748607900;1030;XAUUSD;PERIOD_M5;LONG;2025.05.30 13:05:00;2025.05.30 13:10:00;2025.05.30 15:14:57;3299.58000000;3287.40000000;3323.94000000;3287.40000000;SL;-1.0000;0.5936;-1.3752;24;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748623200|MSZZ|XAUUSD|5|0|-1|1748622300|1748622300;1030;XAUUSD;PERIOD_M5;SHORT;2025.05.30 16:40:00;2025.05.30 16:45:00;2025.06.02 01:09:57;3289.57000000;3308.26000000;3252.19000000;3308.26000000;SL;-1.0000;0.9674;-1.0514;676;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749135600|MSZZ|XAUUSD|5|0|1|1748509200|1748509200;1030;XAUUSD;PERIOD_M5;LONG;2025.06.05 15:00:00;2025.06.05 15:05:00;2025.06.11 11:15:00;3394.60000000;3266.05000000;3651.70000000;3345.07000000;OTHER;-0.3853;0.0430;-0.7858;1682;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1749640200|MSZZ|XAUUSD|5|0|-1|1749223800|1749223800;1030;XAUUSD;PERIOD_M5;SHORT;2025.06.11 11:10:00;2025.06.11 11:15:00;2025.06.12 03:50:00;3345.07000000;3375.61000000;3283.99000000;3370.98000000;OTHER;-0.8484;0.8438;-0.9289;199;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749699900|MSZZ|XAUUSD|5|0|1|1749698700|1749698700;1030;XAUUSD;PERIOD_M5;LONG;2025.06.12 03:45:00;2025.06.12 03:50:00;2025.06.12 10:39:57;3370.98000000;3357.68000000;3397.58000000;3357.68000000;SL;-1.0000;0.5098;-1.6331;81;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749734400|MSZZ|XAUUSD|5|0|1|1749734100|1749734100;1030;XAUUSD;PERIOD_M5;LONG;2025.06.12 13:20:00;2025.06.12 13:25:00;2025.06.13 03:04:58;3375.47000000;3362.01000000;3402.39000000;3402.39000000;TP;2.0000;2.0609;-0.1724;163;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1750182300|MSZZ|XAUUSD|5|0|1|1749675600|1749675600;1030;XAUUSD;PERIOD_M5;LONG;2025.06.17 17:45:00;2025.06.17 17:50:00;2025.06.24 08:54:57;3379.01000000;3329.61000000;3477.81000000;3329.61000000;SL;-1.0000;0.4257;-1.0609;1908;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1751556900|MSZZ|XAUUSD|5|0|-1|1751556600|1751556600;1030;XAUUSD;PERIOD_M5;SHORT;2025.07.03 15:35:00;2025.07.03 15:40:00;2025.07.11 08:30:00;3320.12000000;3348.09000000;3264.18000000;3340.30000000;OTHER;-0.7215;1.3371;-0.9171;2218;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1752222300|MSZZ|XAUUSD|5|0|1|1752222000|1752222000;1030;XAUUSD;PERIOD_M5;LONG;2025.07.11 08:25:00;2025.07.11 08:30:00;2025.07.11 18:19:59;3340.30000000;3327.22000000;3366.46000000;3366.46000000;TP;2.0000;2.1116;-0.7011;117;London
