cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741122000|MSZZ|XAUUSD|5|2|1|1741115400|1741119900;1003;XAUUSD;PERIOD_M5;LONG;2025.03.04 21:00:00;2025.03.04 21:05:00;2025.03.04 22:14:58;2913.49000000;2911.03000000;2918.41000000;2918.41000000;TP;2.0000;2.1179;-0.6707;13;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741136700|MSZZ|XAUUSD|5|2|-1|1741121400|1741122300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 01:05:00;2025.03.05 01:10:00;2025.03.05 02:04:58;2916.61000000;2918.44000000;2912.95000000;2912.95000000;TP;2.0000;2.3060;-0.3880;10;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741144500|MSZZ|XAUUSD|5|2|-1|1741144200|1741144200;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 03:15:00;2025.03.05 03:20:00;2025.03.05 05:50:00;2904.10000000;2917.00000000;2878.30000000;2913.14000000;OTHER;-0.7008;0.1581;-0.8078;30;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741153500|MSZZ|XAUUSD|5|2|1|1741148100|1741150500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.05 05:45:00;2025.03.05 05:50:00;2025.03.05 15:44:58;2913.14000000;2902.06000000;2935.30000000;2902.06000000;SL;-1.0000;0.8493;-1.3547;118;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741189500|MSZZ|XAUUSD|5|2|-1|1741189200|1741189200;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741194300|MSZZ|XAUUSD|5|2|1|1741184700|1741188600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 23:10:00;2918.04000000;2906.58000000;2940.96000000;2919.52000000;OTHER;0.1291;1.0497;-0.5908;72;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741215900|MSZZ|XAUUSD|5|2|-1|1741205100|1741210800;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 23:05:00;2025.03.05 23:10:00;2025.03.06 02:00:00;2919.52000000;2923.12000000;2912.32000000;2918.34000000;OTHER;0.3278;0.9639;-0.1139;34;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741226100|MSZZ|XAUUSD|5|2|1|1741215300|1741216500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 01:55:00;2025.03.06 02:00:00;2025.03.06 02:50:00;2918.34000000;2916.05000000;2922.92000000;2917.80000000;OTHER;-0.2358;0.8559;-0.4279;10;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741229100|MSZZ|XAUUSD|5|2|-1|1741222800|1741227300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.06 02:45:00;2025.03.06 02:50:00;2025.03.06 03:34:58;2917.80000000;2920.30000000;2912.80000000;2920.30000000;SL;-1.0000;0.7560;-0.9840;8;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741231800|MSZZ|XAUUSD|5|2|1|1741227300|1741229700;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 03:30:00;2025.03.06 03:35:00;2025.03.06 07:04:58;2919.83000000;2915.91000000;2927.67000000;2915.91000000;SL;-1.0000;1.7092;-1.0995;41;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741245600|MSZZ|XAUUSD|5|2|-1|1741230000|1741231800;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.06 07:20:00;2025.03.06 07:25:00;2025.03.06 11:59:57;2915.44000000;2926.53000000;2893.26000000;2893.26000000;TP;2.0000;2.1921;-0.6889;54;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741267800|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 13:30:00;2025.03.06 13:35:00;2025.03.07 02:14:58;2906.96000000;2898.60000000;2923.68000000;2898.60000000;SL;-1.0000;1.8888;-1.4510;151;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741336200|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.07 08:30:00;2025.03.07 08:35:00;2025.03.18 15:49:58;2913.48000000;2852.58000000;3035.28000000;3035.28000000;TP;2.0000;2.0048;-0.5463;3254;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742335200|MSZZ|XAUUSD|5|2|1|1742327700|1742329500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.18 22:00:00;2025.03.18 22:05:00;2025.03.24 06:00:00;3036.76000000;2910.11000000;3290.06000000;3016.31000000;OTHER;-0.1615;0.1626;-0.2939;1535;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742795700|MSZZ|XAUUSD|5|2|-1|1742788500|1742789100;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 05:55:00;2025.03.24 06:00:00;2025.03.24 09:40:00;3016.31000000;3023.62000000;3001.69000000;3023.43000000;OTHER;-0.9740;0.0848;-1.1710;44;Asian
