cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1740963600|MSZZ|XAUUSD|5|2|-1|1740774300|1740778500;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.03 01:00:00;2025.03.03 01:05:00;2025.03.04 11:34:58;2873.48000000;2920.80000000;2778.84000000;2920.80000000;SL;-1.0000;0.3096;-1.0120;413;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741267800|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 13:30:00;2025.03.06 13:35:00;2025.03.10 21:14:57;2906.96000000;2891.13000000;2938.62000000;2891.13000000;SL;-1.0000;1.4902;-1.0310;1243;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741670400|MSZZ|XAUUSD|5|2|1|1741666500|1741669200;1003;XAUUSD;PERIOD_M5;LONG;2025.03.11 05:20:00;2025.03.11 05:25:00;2025.03.11 12:34:57;2889.32000000;2880.25000000;2907.46000000;2907.46000000;TP;2.0000;2.0838;-0.2624;85;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741712400|MSZZ|XAUUSD|5|2|-1|1741686900|1741689000;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.11 17:00:00;2025.03.11 17:05:00;2025.03.11 17:39:58;2910.31000000;2916.06000000;2898.81000000;2916.06000000;SL;-1.0000;0.6191;-1.7583;6;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741714500|MSZZ|XAUUSD|5|2|1|1741711200|1741712700;1003;XAUUSD;PERIOD_M5;LONG;2025.03.11 17:35:00;2025.03.11 17:40:00;2025.03.11 22:10:00;2919.08000000;2906.75000000;2943.74000000;2915.96000000;OTHER;-0.2530;0.2555;-0.5710;54;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741730700|MSZZ|XAUUSD|5|2|-1|1741713300|1741714500;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.11 22:05:00;2025.03.11 22:10:00;2025.03.11 23:09:58;2915.96000000;2919.88000000;2908.12000000;2919.88000000;SL;-1.0000;0.1046;-0.9796;11;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741754100|MSZZ|XAUUSD|5|2|-1|1741744800|1741746300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.12 04:35:00;2025.03.12 04:40:00;2025.03.12 06:34:58;2912.86000000;2917.62000000;2903.34000000;2917.62000000;SL;-1.0000;0.4139;-1.1282;22;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741762800|MSZZ|XAUUSD|5|2|1|1741749000|1741752000;1003;XAUUSD;PERIOD_M5;LONG;2025.03.12 07:00:00;2025.03.12 07:05:00;2025.03.12 11:00:00;2918.74000000;2910.89000000;2934.44000000;2911.89000000;OTHER;-0.8726;0.3121;-1.0280;47;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741776900|MSZZ|XAUUSD|5|2|-1|1741771800|1741773300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.12 10:55:00;2025.03.12 11:00:00;2025.03.12 12:54:57;2911.89000000;2921.19000000;2893.29000000;2921.19000000;SL;-1.0000;0.3161;-1.0097;22;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741799700|MSZZ|XAUUSD|5|2|-1|1741795800|1741797000;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.12 17:15:00;2025.03.12 17:20:00;2025.03.12 19:04:58;2910.75000000;2923.07000000;2886.11000000;2923.07000000;SL;-1.0000;0.3856;-1.1778;20;NewYork
