cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741098000|MSZZ|XAUUSD|5|2|1|1741087800|1741089900;1003;XAUUSD;PERIOD_M5;LONG;2025.03.04 14:20:00;2025.03.04 14:25:00;2025.03.04 16:39:58;2922.06000000;2912.08000000;2942.02000000;2912.08000000;SL;-1.0000;0.5792;-1.1443;26;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741106400|MSZZ|XAUUSD|5|2|-1|1741091400|1741094100;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.04 16:40:00;2025.03.04 16:45:00;2025.03.04 20:15:00;2911.79000000;2921.69000000;2891.99000000;2914.06000000;OTHER;-0.2293;1.1646;-0.4657;42;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741119000|MSZZ|XAUUSD|5|2|1|1741115400|1741118400;1003;XAUUSD;PERIOD_M5;LONG;2025.03.04 20:10:00;2025.03.04 20:15:00;2025.03.05 01:20:00;2914.06000000;2900.26000000;2941.66000000;2916.68000000;OTHER;0.1899;0.4725;-0.4188;61;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741137300|MSZZ|XAUUSD|5|2|-1|1741130400|1741132500;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 01:15:00;2025.03.05 01:20:00;2025.03.05 02:04:58;2916.68000000;2918.44000000;2913.16000000;2913.16000000;TP;2.0000;2.4375;-0.0057;8;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741153500|MSZZ|XAUUSD|5|2|1|1741148100|1741149000;1003;XAUUSD;PERIOD_M5;LONG;2025.03.05 05:45:00;2025.03.05 05:50:00;2025.03.05 15:44:58;2913.14000000;2902.14000000;2935.14000000;2902.14000000;SL;-1.0000;0.8555;-1.3645;118;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741189500|MSZZ|XAUUSD|5|2|-1|1741189200|1741189200;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741194300|MSZZ|XAUUSD|5|2|1|1741184700|1741187100;1003;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 23:10:00;2918.04000000;2907.06000000;2940.00000000;2919.52000000;OTHER;0.1348;1.0956;-0.6166;72;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741215900|MSZZ|XAUUSD|5|2|-1|1741205100|1741205700;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.05 23:05:00;2025.03.05 23:10:00;2025.03.06 02:00:00;2919.52000000;2923.12000000;2912.32000000;2918.34000000;OTHER;0.3278;0.9639;-0.1139;34;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741226100|MSZZ|XAUUSD|5|2|1|1741215300|1741215900;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 01:55:00;2025.03.06 02:00:00;2025.03.06 02:50:00;2918.34000000;2916.05000000;2922.92000000;2917.80000000;OTHER;-0.2358;0.8559;-0.4279;10;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741229100|MSZZ|XAUUSD|5|2|-1|1741222800|1741227000;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.06 02:45:00;2025.03.06 02:50:00;2025.03.06 03:34:58;2917.80000000;2920.30000000;2912.80000000;2920.30000000;SL;-1.0000;0.7560;-0.9840;8;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741231800|MSZZ|XAUUSD|5|2|1|1741227300|1741229700;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 03:30:00;2025.03.06 03:35:00;2025.03.06 07:04:58;2919.83000000;2915.91000000;2927.67000000;2915.91000000;SL;-1.0000;1.7092;-1.0995;41;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1741245600|MSZZ|XAUUSD|5|2|-1|1741230000|1741231800;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.06 07:20:00;2025.03.06 07:25:00;2025.03.06 11:54:58;2915.44000000;2925.62000000;2895.08000000;2895.08000000;TP;2.0000;2.1051;-0.7505;53;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741277100|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 16:05:00;2025.03.06 16:10:00;2025.03.14 14:19:58;2909.78000000;2863.75000000;3001.84000000;3001.84000000;TP;2.0000;2.0721;-0.6424;2281;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742557500|MSZZ|XAUUSD|5|2|1|1742555100|1742555700;1003;XAUUSD;PERIOD_M5;LONG;2025.03.21 11:45:00;2025.03.21 11:50:00;2025.03.21 17:09:58;3034.14000000;2999.79000000;3102.84000000;2999.79000000;SL;-1.0000;0.1179;-1.0035;63;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742795700|MSZZ|XAUUSD|5|2|-1|1742788500|1742789100;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 05:55:00;2025.03.24 06:00:00;2025.03.24 09:40:00;3016.31000000;3025.67000000;2997.59000000;3023.43000000;OTHER;-0.7607;0.0662;-0.9145;44;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742808900|MSZZ|XAUUSD|5|2|1|1742804700|1742807400;1003;XAUUSD;PERIOD_M5;LONG;2025.03.24 09:35:00;2025.03.24 09:40:00;2025.03.24 15:50:00;3023.43000000;2984.34000000;3101.61000000;3024.37000000;OTHER;0.0240;0.2517;-0.0624;74;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742831100|MSZZ|XAUUSD|5|2|-1|1742820600|1742822100;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 15:45:00;2025.03.24 15:50:00;2025.03.24 18:09:57;3024.37000000;3033.27000000;3006.57000000;3006.57000000;TP;2.0000;2.0933;-0.4393;27;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742872800|MSZZ|XAUUSD|5|2|1|1742868300|1742871600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.25 03:20:00;2025.03.25 03:25:00;2025.03.25 21:20:00;3011.67000000;2996.88000000;3041.25000000;3020.21000000;OTHER;0.5774;1.6444;-0.2725;215;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742937300|MSZZ|XAUUSD|5|2|-1|1742927400|1742931300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1743116700|MSZZ|XAUUSD|5|2|-1|1743107400|1743109200;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.27 23:05:00;2025.03.27 23:10:00;2025.03.28 03:05:00;3056.30000000;3057.86000000;3053.18000000;3057.30000000;OTHER;-0.6410;1.3654;-2.2436;47;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743130800|MSZZ|XAUUSD|5|2|1|1743116100|1743117300;1003;XAUUSD;PERIOD_M5;LONG;2025.03.28 03:00:00;2025.03.28 03:05:00;2025.03.28 04:04:59;3057.30000000;3054.17000000;3063.56000000;3063.56000000;TP;2.0000;2.2236;-0.0639;11;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743134400|MSZZ|XAUUSD|5|2|1|1743131400|1743131400;1003;XAUUSD;PERIOD_M5;LONG;2025.03.28 04:00:00;2025.03.28 04:05:00;2025.03.28 10:09:58;3064.50000000;3054.17000000;3085.16000000;3085.16000000;TP;2.0000;2.0823;-0.1375;72;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743161700|MSZZ|XAUUSD|5|2|1|1743131400|1743131400;1003;XAUUSD;PERIOD_M5;LONG;2025.03.28 11:35:00;2025.03.28 11:40:00;2025.03.31 05:24:57;3070.97000000;3054.17000000;3104.57000000;3104.57000000;TP;2.0000;2.1345;-0.2202;788;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1743714900|MSZZ|XAUUSD|5|2|-1|1743712200|1743713400;1003;XAUUSD;PERIOD_M5;SHORT;2025.04.03 21:15:00;2025.04.03 21:20:00;2025.04.03 21:45:00;3105.51000000;3110.75000000;3095.03000000;3106.79000000;OTHER;-0.2443;0.6355;-0.2634;5;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743716400|MSZZ|XAUUSD|5|2|1|1743714000|1743715800;1003;XAUUSD;PERIOD_M5;LONG;2025.04.03 21:40:00;2025.04.03 21:45:00;2025.04.03 22:40:00;3106.79000000;3099.98000000;3120.41000000;3103.36000000;OTHER;-0.5037;0.9457;-0.6388;11;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1743719700|MSZZ|XAUUSD|5|2|-1|1743715800|1743717000;1003;XAUUSD;PERIOD_M5;SHORT;2025.04.03 22:35:00;2025.04.03 22:40:00;2025.04.03 23:39:58;3103.36000000;3113.23000000;3083.62000000;3113.23000000;SL;-1.0000;0.1824;-1.0760;11;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743723600|MSZZ|XAUUSD|5|2|1|1743718500|1743719400;1003;XAUUSD;PERIOD_M5;LONG;2025.04.03 23:40:00;2025.04.03 23:45:00;2025.04.04 03:20:00;3117.56000000;3101.56000000;3149.56000000;3111.83000000;OTHER;-0.3581;0.1425;-0.4856;43;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1743736500|MSZZ|XAUUSD|5|2|-1|1743732600|1743734700;1003;XAUUSD;PERIOD_M5;SHORT;2025.04.04 03:15:00;2025.04.04 03:20:00;2025.04.04 04:10:00;3111.83000000;3116.23000000;3103.03000000;3114.99000000;OTHER;-0.7182;1.3205;-0.9045;10;Asian
