cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741119600|MSZZ|XAUUSD|5|0|-1|1740501600|1740501600;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.04 20:20:00;2025.03.04 20:25:00;2025.03.04 21:59:58;2911.41000000;2916.40000000;2901.43000000;2916.40000000;SL;-1.0000;0.6273;-1.0240;18;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 17:09:57;2896.23000000;2919.30000000;2850.09000000;2919.30000000;SL;-1.0000;0.0980;-1.1053;15;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1080;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2907.06000000;2940.00000000;2922.85000000;OTHER;0.4381;1.0956;-0.3515;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.06 10:04:58;2922.85000000;2930.07000000;2908.41000000;2908.41000000;TP;2.0000;2.2701;-0.5097;179;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741667700|MSZZ|XAUUSD|5|0|-1|1741642500|1741642500;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.11 04:35:00;2025.03.11 04:40:00;2025.03.11 12:44:58;2886.31000000;2908.42000000;2842.09000000;2908.42000000;SL;-1.0000;0.2741;-1.0384;96;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741721400|MSZZ|XAUUSD|5|0|1|1741719600|1741719600;1080;XAUUSD;PERIOD_M5;LONG;2025.03.11 19:30:00;2025.03.11 19:35:00;2025.03.13 18:44:58;2917.03000000;2895.93000000;2959.23000000;2959.23000000;TP;2.0000;2.3313;-0.5227;565;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742203500|MSZZ|XAUUSD|5|0|1|1741802700|1741803000;1080;XAUUSD;PERIOD_M5;LONG;2025.03.17 09:25:00;2025.03.17 09:30:00;2025.03.25 10:45:00;2990.57000000;2895.93000000;3179.85000000;3013.13000000;OTHER;0.2384;0.7056;-0.0765;2319;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.25 10:40:00;2025.03.25 10:45:00;2025.03.25 17:04:58;3013.13000000;3033.27000000;2972.85000000;3033.27000000;SL;-1.0000;0.1311;-1.0333;75;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742967600|MSZZ|XAUUSD|5|0|-1|1742923800|1742923800;1080;XAUUSD;PERIOD_M5;SHORT;2025.03.26 05:40:00;2025.03.26 05:45:00;2025.03.27 13:09:58;3023.46000000;3045.39000000;2979.60000000;3045.39000000;SL;-1.0000;0.5030;-1.0360;376;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743085800|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1080;XAUUSD;PERIOD_M5;LONG;2025.03.27 14:30:00;2025.03.27 14:35:00;2025.03.27 16:14:58;3052.59000000;3045.75000000;3066.27000000;3045.75000000;SL;-1.0000;0.4927;-1.1184;19;London
